feature,importance
cycle,0.6805400592324776
sensor_11,0.0936918828653697
sensor_04,0.0711695137205266
sensor_12,0.03513613902457022
sensor_09,0.02495877739745141
sensor_07,0.023638145127226763
sensor_15,0.01718024582146105
sensor_21,0.01371556393656107
sensor_14,0.010746162600816123
sensor_02,0.009991499060359852
sensor_20,0.008120067325580405
sensor_03,0.0032843759145212595
sensor_17,0.002847533160184183
sensor_13,0.002377853728650099
sensor_08,0.002213863558109836
operational_setting_1,0.00015997184369235702
operational_setting_2,0.000126610469030473
sensor_06,0.00010173521341112441
