model,candidate_id,fold,train_engines,validation_engines,validation_rows,mae,rmse,alpha,selected,n_estimators,learning_rate,max_depth,min_samples_leaf
ridge,1,1,80,20,4070,25.155177396903035,31.655977879574507,0.1,False,,,,
ridge,1,2,80,20,4291,32.45250449061146,42.162840627415626,0.1,False,,,,
ridge,1,3,80,20,3909,34.1935475485715,42.52555243342522,0.1,False,,,,
ridge,1,4,80,20,4070,31.961197208184345,43.890430758004804,0.1,False,,,,
ridge,1,5,80,20,4291,32.89380823072336,42.98047676265837,0.1,False,,,,
ridge,2,1,80,20,4070,25.15526448505305,31.656180425526195,1.0,False,,,,
ridge,2,2,80,20,4291,32.45256093283563,42.16311943462495,1.0,False,,,,
ridge,2,3,80,20,3909,34.193250413343556,42.52534873419239,1.0,False,,,,
ridge,2,4,80,20,4070,31.961098240481228,43.890096682721804,1.0,False,,,,
ridge,2,5,80,20,4291,32.893583384630425,42.980361947141866,1.0,False,,,,
ridge,3,1,80,20,4070,25.156150452969943,31.65821155344324,10.0,False,,,,
ridge,3,2,80,20,4291,32.45312404370905,42.16590807898184,10.0,False,,,,
ridge,3,3,80,20,3909,34.19028229758631,42.523319161676284,10.0,False,,,,
ridge,3,4,80,20,4070,31.960125091881523,43.88677033265387,10.0,False,,,,
ridge,3,5,80,20,4291,32.89133765325634,42.97922158851743,10.0,False,,,,
ridge,4,1,80,20,4070,25.165712331075817,31.679037688639553,100.0,True,,,,
ridge,4,2,80,20,4291,32.4587171409831,42.193844255274186,100.0,True,,,,
ridge,4,3,80,20,3909,34.16128922554819,42.50374771628592,100.0,True,,,,
ridge,4,4,80,20,4070,31.950955065121683,43.85485308794723,100.0,True,,,,
ridge,4,5,80,20,4291,32.86955264874723,42.96857877051967,100.0,True,,,,
gradient_boosting,1,1,80,20,4070,24.81965751280067,30.87588119157193,,False,100.0,0.03,2.0,5.0
gradient_boosting,1,2,80,20,4291,30.019942585699887,40.050583699833034,,False,100.0,0.03,2.0,5.0
gradient_boosting,1,3,80,20,3909,29.115838476411064,38.084404710718104,,False,100.0,0.03,2.0,5.0
gradient_boosting,1,4,80,20,4070,26.94894545313584,40.2446779390009,,False,100.0,0.03,2.0,5.0
