model,candidate_id,mean_fold_mae,sd_fold_mae,mean_fold_rmse,sd_fold_rmse,pooled_oof_mae,pooled_oof_rmse,alpha,n_estimators,learning_rate,max_depth,min_samples_leaf
ridge,4,31.321245282295205,3.5370915967097702,40.64001230373331,5.048375791580737,31.3278523364318,40.91426118321523,100.0,,,,
ridge,3,31.330203907880634,3.549432115135069,40.642686143054526,5.063626402720297,31.336636135450966,40.91802051927143,10.0,,,,
ridge,2,31.331151491268777,3.5506610658143,40.64302144484144,5.065170867141998,31.337565674224773,40.91846545954643,1.0,,,,
ridge,1,31.33124697499874,3.550783483875584,40.643055692215704,5.0653255058004625,31.337659342606727,40.91851068090226,0.1,,,,
gradient_boosting,7,26.568858811807694,2.570996581580379,37.000629727429676,4.225035545911737,26.599700890355074,37.23840182675942,,100.0,0.05,3.0,5.0
gradient_boosting,11,26.53318710583455,2.6124648470603,37.0062420235282,4.235489245785239,26.56438931554006,37.2439218190196,,200.0,0.03,3.0,5.0
gradient_boosting,8,26.582724303702825,2.5733462276460646,37.01495014898497,4.22037285312316,26.61368986665024,37.2523517800894,,100.0,0.05,3.0,10.0
gradient_boosting,12,26.542115753162115,2.6092143398958574,37.01638460791109,4.234843297765936,26.573048487160346,37.253469700724835,,200.0,0.03,3.0,10.0
gradient_boosting,14,26.70360616032384,2.7336162649247506,37.0433763898146,4.351913869642614,26.733064194852084,37.290064409543746,,200.0,0.05,2.0,10.0
gradient_boosting,13,26.697963991827834,2.7344698452890195,37.04379584302468,4.354426867220542,26.72740638829474,37.29082858073509,,200.0,0.05,2.0,5.0
gradient_boosting,9,26.889824945233403,2.681238296462921,37.121065925955094,4.35743542589216,26.916709179839355,37.368091563830525,,200.0,0.03,2.0,5.0
gradient_boosting,10,26.889824945233403,2.681238296462921,37.121065925955094,4.35743542589216,26.916709179839355,37.368091563830525,,200.0,0.03,2.0,10.0
gradient_boosting,15,26.557211029321696,2.570438539972343,37.124098788201245,4.176356215253398,26.5877311941224,37.35336113929295,,200.0,0.05,3.0,5.0
gradient_boosting,16,26.579603684056558,2.5759803001639776,37.13778111114297,4.192533000257516,26.610190879537825,37.36827971955877,,200.0,0.05,3.0,10.0
gradient_boosting,5,27.001753318053098,2.552314525225396,37.2267002400282,4.269120785811604,27.026463876536432,37.464891679712714,,100.0,0.05,2.0,5.0
gradient_boosting,6,27.001753318053098,2.552314525225396,37.2267002400282,4.269120785811604,27.026463876536432,37.464891679712714,,100.0,0.05,2.0,10.0
gradient_boosting,4,26.94112352015038,2.1586563961401244,37.232870538621924,4.062174040418433,26.96781508276821,37.45788644383546,,100.0,0.03,3.0,10.0
gradient_boosting,3,26.94132242031808,2.158425581982598,37.233272251775794,4.062397245371381,26.96799196119293,37.458301599897005,,100.0,0.03,3.0,5.0
gradient_boosting,1,27.956624363566796,2.080103989308667,37.95383675389414,4.071589903638694,27.97955814875016,38.17592866370162,,100.0,0.03,2.0,5.0
gradient_boosting,2,27.956624363566796,2.080103989308667,37.95383675389414,4.071589903638694,27.97955814875016,38.17592866370162,,100.0,0.03,2.0,10.0
