spearman_rho,kendall_tau,exact_rank_agreement,top_rank_agreement,reference_top,comparison_top,repetition,assignment_seed,planning_horizon,weight_scheme
0.9746794344808963,0.9486832980505138,0,1,A1,A1,1,42,100.0,equal
0.9746794344808963,0.9486832980505138,0,1,A1,A1,1,42,100.0,criticality_heavy
0.9746794344808963,0.9486832980505138,0,1,A1,A1,1,42,100.0,throughput_heavy
0.9746794344808963,0.9486832980505138,0,1,A1,A1,1,42,100.0,severity_heavy
0.9999999999999999,1.0,1,1,A1,A1,1,42,125.0,equal
0.9999999999999999,1.0,1,1,A1,A1,1,42,125.0,criticality_heavy
0.9999999999999999,1.0,1,1,A1,A1,1,42,125.0,throughput_heavy
0.9999999999999999,1.0,1,1,A1,A1,1,42,125.0,severity_heavy
0.9999999999999999,1.0,1,1,A1,A1,1,42,150.0,equal
0.9999999999999999,1.0,1,1,A1,A1,1,42,150.0,criticality_heavy
0.9999999999999999,1.0,1,1,A1,A1,1,42,150.0,throughput_heavy
0.9999999999999999,1.0,1,1,A1,A1,1,42,150.0,severity_heavy
0.9746794344808963,0.9486832980505138,0,1,A3,A3,2,43,100.0,equal
0.9746794344808963,0.9486832980505138,0,1,A3,A3,2,43,100.0,criticality_heavy
0.9746794344808963,0.9486832980505138,0,1,A3,A3,2,43,100.0,throughput_heavy
0.9746794344808963,0.9486832980505138,0,1,A3,A3,2,43,100.0,severity_heavy
0.9999999999999999,1.0,1,1,A3,A3,2,43,125.0,equal
0.9999999999999999,1.0,1,1,A3,A3,2,43,125.0,criticality_heavy
0.9999999999999999,1.0,1,1,A3,A3,2,43,125.0,throughput_heavy
0.9999999999999999,1.0,1,1,A3,A3,2,43,125.0,severity_heavy
0.6,0.4,0,1,A3,A3,2,43,150.0,equal
0.7,0.6,0,1,A3,A3,2,43,150.0,criticality_heavy
0.6,0.4,0,1,A3,A3,2,43,150.0,throughput_heavy
0.6,0.4,0,1,A3,A3,2,43,150.0,severity_heavy
0.8720815992723809,0.7378647873726218,0,1,A2,A2,3,44,100.0,equal
0.8720815992723809,0.7378647873726218,0,1,A2,A2,3,44,100.0,criticality_heavy
0.8720815992723809,0.7378647873726218,0,1,A2,A2,3,44,100.0,throughput_heavy
0.8720815992723809,0.7378647873726218,0,1,A2,A2,3,44,100.0,severity_heavy
0.9999999999999999,1.0,1,1,A2,A2,3,44,125.0,equal
0.9999999999999999,1.0,1,1,A2,A2,3,44,125.0,criticality_heavy
0.9999999999999999,1.0,1,1,A2,A2,3,44,125.0,throughput_heavy
0.9999999999999999,1.0,1,1,A2,A2,3,44,125.0,severity_heavy
0.9999999999999999,1.0,1,1,A2,A2,3,44,150.0,equal
0.9999999999999999,1.0,1,1,A2,A2,3,44,150.0,criticality_heavy
0.9999999999999999,1.0,1,1,A2,A2,3,44,150.0,throughput_heavy
0.9999999999999999,1.0,1,1,A2,A2,3,44,150.0,severity_heavy
0.8947368421052632,0.7777777777777778,0,0,A5,A4,4,45,100.0,equal
1.0,1.0,1,1,A5,A5,4,45,100.0,criticality_heavy
1.0,1.0,1,1,A5,A5,4,45,100.0,throughput_heavy
0.8947368421052632,0.7777777777777778,0,0,A5,A4,4,45,100.0,severity_heavy
1.0,1.0,1,1,A5,A5,4,45,125.0,equal
1.0,1.0,1,1,A5,A5,4,45,125.0,criticality_heavy
1.0,1.0,1,1,A5,A5,4,45,125.0,throughput_heavy
1.0,1.0,1,1,A5,A5,4,45,125.0,severity_heavy
