planning_horizon,weight_scheme,mean_spearman_rho,mean_kendall_tau,exact_rank_agreement_probability,top_rank_agreement_probability
100.0,criticality_heavy,0.959074249413991,0.9204824706383665,0.391,0.891
100.0,equal,0.9588637230982014,0.9200380261939222,0.388,0.892
100.0,severity_heavy,0.9592767797617218,0.9211035224588559,0.389,0.898
100.0,throughput_heavy,0.9583506664346813,0.9191941669503441,0.387,0.888
125.0,criticality_heavy,0.9966315789473684,0.9931111111111111,0.967,0.981
125.0,equal,0.9999999999999999,1.0,1.0,1.0
125.0,severity_heavy,0.9950999999999999,0.9901777777777778,0.954,0.973
125.0,throughput_heavy,0.9970368421052631,0.9939333333333333,0.971,0.979
150.0,criticality_heavy,0.9558472775686839,0.9148123235879061,0.356,0.926
150.0,equal,0.9558089678271222,0.9150555976306177,0.358,0.924
150.0,severity_heavy,0.9571115656623307,0.9176664161412956,0.364,0.931
150.0,throughput_heavy,0.9553550710743094,0.9144447791199398,0.358,0.915
