repetition,asset_id,asset_role,criticality,capacity_loss_percent,throughput,severity,assignment_seed,assignment_design,source_cmapss_unit_id,source_true_endpoint_rul_diagnostic_only,surrogate_rul_input,surrogate_rul_quantile,noise_seed,sampled_cmapss_prediction_error,perturbed_surrogate_rul_input,rul_urgency,combined_consequence,priority_score,priority_rank,rul_only_score,rul_only_rank,criticality_only_score,criticality_only_rank
1,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,100042,24.762478621535312,57.07878375067102,0.5433697299946318,0.6666666666666667,36.224648666308795,1,54.336972999463185,1,80.0,2
1,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,100042,4.358971701308069,126.17527067233411,0.0,0.9333333333333333,0.0,4,0.0,4,100.0,1
1,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,100042,49.13190747109099,222.11639459310854,0.0,0.8,0.0,4,0.0,4,80.0,2
1,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,100042,10.01867136489506,57.56894232668196,0.5394484613865442,0.4,21.577938455461773,2,53.94484613865443,2,40.0,5
1,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,100042,4.661026045430579,99.47512264850333,0.20419901881197333,0.5333333333333333,10.890614336638578,3,20.419901881197333,3,60.0,4
2,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,100043,28.02895302021854,60.34525814935425,0.517237934805166,0.6666666666666667,34.48252898701107,1,51.7237934805166,2,80.0,2
2,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,100043,48.56251675110229,170.37881572212834,0.0,0.9333333333333333,0.0,4,0.0,4,100.0,1
2,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,100043,7.455448414279517,180.43993553629707,0.0,0.8,0.0,4,0.0,4,80.0,2
2,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,100043,-17.8278242311149,29.722446730672008,0.7622204261546239,0.4,30.488817046184963,2,76.2220426154624,1,40.0,5
2,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,100043,4.710078477557476,99.52417508063023,0.20380659935495815,0.5333333333333333,10.8696852989311,3,20.380659935495814,3,60.0,4
3,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,100044,-9.121906696364473,23.194398432771234,0.8144448125378301,0.6666666666666667,54.29632083585535,1,81.44448125378301,1,80.0,2
3,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,100044,-8.785903466542226,113.03039550448382,0.09575683596412943,0.9333333333333333,8.937304689985414,3,9.575683596412944,4,100.0,1
3,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,100044,6.984236566667225,179.96872368868478,0.0,0.8,0.0,5,0.0,5,80.0,2
3,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,100044,0.011415530131306278,47.561686491918216,0.6195065080646542,0.4,24.780260322586173,2,61.950650806465426,2,40.0,5
3,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,100044,17.330762727983544,112.1448593310563,0.10284112535154966,0.5333333333333333,5.484860018749315,4,10.284112535154966,3,60.0,4
4,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,100045,23.247837139399227,55.56414226853494,0.5554868618517206,0.6666666666666667,37.03245745678138,2,55.54868618517206,3,80.0,2
4,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,100045,-15.934854009133229,105.88144496189281,0.15294844030485755,0.9333333333333333,14.275187761786706,4,15.294844030485756,4,100.0,1
4,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,100045,7.885529173890238,180.8700162959078,0.0,0.8,0.0,5,0.0,5,80.0,2
4,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,100045,-37.55360600757188,9.996664954215028,0.9200266803662798,0.4,36.80106721465119,3,92.00266803662798,1,40.0,5
4,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,100045,-62.495698514785424,32.31839808828733,0.7414528152937013,0.5333333333333333,39.5441501489974,1,74.14528152937014,2,60.0,4
5,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,100046,1.4966468168829907,33.8129519460187,0.7294963844318504,0.6666666666666667,48.6330922954567,1,72.94963844318504,1,80.0,2
5,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,100046,50.86899430502451,172.68529327605054,0.0,0.9333333333333333,0.0,5,0.0,5,100.0,1
5,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,100046,-73.61517083870123,99.36931628331632,0.20504546973346938,0.8,16.40363757867755,4,20.504546973346937,4,80.0,2
5,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,100046,2.7518767602305063,50.302147722017416,0.5975828182238607,0.4,23.903312728954432,2,59.758281822386074,2,40.0,5
5,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,100046,-24.10976620009063,70.70433040298212,0.43436535677614296,0.5333333333333333,23.16615236139429,3,43.436535677614295,3,60.0,4
6,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,100047,26.96872464854508,59.28502977768079,0.5257197617785536,0.6666666666666667,35.04798411857025,2,52.57197617785536,2,80.0,2
