spearman_rho,kendall_tau,exact_rank_agreement,top_rank_agreement,reference_top,comparison_top,repetition,noise_seed
0.9746794344808963,0.9486832980505138,0,1,A1,A1,1,100042
0.9746794344808963,0.9486832980505138,0,1,A1,A1,2,100043
0.8999999999999998,0.8,0,1,A1,A1,3,100044
0.7,0.6,0,0,A1,A5,4,100045
0.8999999999999998,0.8,0,1,A1,A1,5,100046
0.8720815992723809,0.7378647873726218,0,0,A1,A4,6,100047
0.8999999999999998,0.8,0,1,A1,A1,7,100048
0.8999999999999998,0.8,0,1,A1,A1,8,100049
0.9746794344808963,0.9486832980505138,0,1,A1,A1,9,100050
0.8999999999999998,0.8,0,1,A1,A1,10,100051
0.8720815992723809,0.7378647873726218,0,1,A1,A1,11,100052
0.9746794344808963,0.9486832980505138,0,1,A1,A1,12,100053
0.8207826816681234,0.7378647873726218,0,1,A1,A1,13,100054
0.8944271909999159,0.8366600265340756,0,1,A1,A1,14,100055
0.8720815992723809,0.7378647873726218,0,1,A1,A1,15,100056
0.3,0.2,0,0,A1,A2,16,100057
0.9746794344808963,0.9486832980505138,0,1,A1,A1,17,100058
0.39999999999999997,0.4,0,0,A1,A2,18,100059
0.9999999999999999,1.0,1,1,A1,A1,19,100060
0.6,0.4,0,0,A1,A4,20,100061
0.8207826816681234,0.7378647873726218,0,1,A1,A1,21,100062
0.3,0.2,0,0,A1,A2,22,100063
0.5642880936468347,0.31622776601683794,0,0,A1,A5,23,100064
0.7,0.6,0,1,A1,A1,24,100065
0.8944271909999159,0.8366600265340756,0,1,A1,A1,25,100066
0.8944271909999159,0.8366600265340756,0,1,A1,A1,26,100067
0.9746794344808963,0.9486832980505138,0,1,A1,A1,27,100068
0.8999999999999998,0.8,0,1,A1,A1,28,100069
0.49999999999999994,0.4,0,0,A1,A5,29,100070
0.7999999999999999,0.6,0,0,A1,A4,30,100071
0.9746794344808963,0.9486832980505138,0,1,A1,A1,31,100072
0.8944271909999159,0.8366600265340756,0,1,A1,A1,32,100073
0.9746794344808963,0.9486832980505138,0,1,A1,A1,33,100074
0.8999999999999998,0.8,0,1,A1,A1,34,100075
0.7,0.6,0,1,A1,A1,35,100076
0.8999999999999998,0.8,0,1,A1,A1,36,100077
0.9746794344808963,0.9486832980505138,0,1,A1,A1,37,100078
0.19999999999999998,0.2,0,0,A1,A2,38,100079
0.6668859288553503,0.5270462766947299,0,0,A1,A5,39,100080
0.3,0.2,0,1,A1,A1,40,100081
-0.09999999999999999,0.0,0,0,A1,A3,41,100082
0.9746794344808963,0.9486832980505138,0,1,A1,A1,42,100083
0.8944271909999159,0.8366600265340756,0,1,A1,A1,43,100084
0.8944271909999159,0.8366600265340756,0,1,A1,A1,44,100085
0.8999999999999998,0.8,0,1,A1,A1,45,100086
0.7999999999999999,0.6,0,0,A1,A4,46,100087
0.9746794344808963,0.9486832980505138,0,1,A1,A1,47,100088
0.49999999999999994,0.4,0,1,A1,A1,48,100089
0.8720815992723809,0.7378647873726218,0,1,A1,A1,49,100090
0.9746794344808963,0.9486832980505138,0,1,A1,A1,50,100091
0.6155870112510925,0.5270462766947299,0,1,A1,A1,51,100092
0.8207826816681234,0.7378647873726218,0,1,A1,A1,52,100093
0.49999999999999994,0.4,0,1,A1,A1,53,100094
0.8720815992723809,0.7378647873726218,0,1,A1,A1,54,100095
0.7,0.6,0,1,A1,A1,55,100096
0.8999999999999998,0.8,0,1,A1,A1,56,100097
0.8720815992723809,0.7378647873726218,0,1,A1,A1,57,100098
0.8999999999999998,0.8,0,1,A1,A1,58,100099
0.9999999999999999,1.0,1,1,A1,A1,59,100100
0.8720815992723809,0.7378647873726218,0,0,A1,A4,60,100101
0.8999999999999998,0.8,0,1,A1,A1,61,100102
0.5642880936468347,0.31622776601683794,0,0,A1,A5,62,100103
0.6668859288553503,0.5270462766947299,0,0,A1,A5,63,100104
0.8207826816681234,0.7378647873726218,0,1,A1,A1,64,100105
0.39999999999999997,0.4,0,0,A1,A2,65,100106
0.8999999999999998,0.8,0,1,A1,A1,66,100107
0.8720815992723809,0.7378647873726218,0,1,A1,A1,67,100108
0.8207826816681234,0.7378647873726218,0,1,A1,A1,68,100109
0.8720815992723809,0.7378647873726218,0,0,A1,A4,69,100110
0.8999999999999998,0.8,0,1,A1,A1,70,100111
0.7,0.6,0,1,A1,A1,71,100112
0.9746794344808963,0.9486832980505138,0,1,A1,A1,72,100113
0.9746794344808963,0.9486832980505138,0,1,A1,A1,73,100114
0.8207826816681234,0.7378647873726218,0,1,A1,A1,74,100115
0.9999999999999999,1.0,1,1,A1,A1,75,100116
-0.3,-0.2,0,0,A1,A3,76,100117
0.7,0.6,0,1,A1,A1,77,100118
0.8944271909999159,0.8366600265340756,0,1,A1,A1,78,100119
0.8207826816681234,0.7378647873726218,0,1,A1,A1,79,100120
0.9746794344808963,0.9486832980505138,0,1,A1,A1,80,100121
0.6155870112510925,0.5270462766947299,0,1,A1,A1,81,100122
0.19999999999999998,0.2,0,0,A1,A2,82,100123
0.8999999999999998,0.8,0,1,A1,A1,83,100124
0.8999999999999998,0.8,0,1,A1,A1,84,100125
0.39999999999999997,0.4,0,1,A1,A1,85,100126
0.49999999999999994,0.4,0,1,A1,A1,86,100127
0.9999999999999999,1.0,1,1,A1,A1,87,100128
0.8720815992723809,0.7378647873726218,0,1,A1,A1,88,100129
0.6,0.4,0,1,A1,A1,89,100130
0.7,0.6,0,0,A1,A4,90,100131
0.9999999999999999,1.0,1,1,A1,A1,91,100132
0.8999999999999998,0.8,0,1,A1,A1,92,100133
0.8720815992723809,0.7378647873726218,0,0,A1,A4,93,100134
0.9999999999999999,1.0,1,1,A1,A1,94,100135
0.30779350562554625,0.31622776601683794,0,0,A1,A2,95,100136
0.9746794344808963,0.9486832980505138,0,1,A1,A1,96,100137
0.9746794344808963,0.9486832980505138,0,1,A1,A1,97,100138
0.8720815992723809,0.7378647873726218,0,0,A1,A4,98,100139
0.7,0.6,0,0,A1,A4,99,100140
0.8944271909999159,0.8366600265340756,0,1,A1,A1,100,100141
0.8999999999999998,0.8,0,1,A1,A1,101,100142
0.6155870112510925,0.5270462766947299,0,1,A1,A1,102,100143
0.9746794344808963,0.9486832980505138,0,1,A1,A1,103,100144
0.6668859288553503,0.5270462766947299,0,1,A1,A1,104,100145
0.8999999999999998,0.8,0,1,A1,A1,105,100146
0.9746794344808963,0.9486832980505138,0,1,A1,A1,106,100147
0.6,0.4,0,1,A1,A1,107,100148
0.9746794344808963,0.9486832980505138,0,1,A1,A1,108,100149
0.8944271909999159,0.8366600265340756,0,1,A1,A1,109,100150
0.9746794344808963,0.9486832980505138,0,1,A1,A1,110,100151
0.8999999999999998,0.8,0,0,A1,A4,111,100152
0.9999999999999999,1.0,1,1,A1,A1,112,100153
0.7,0.6,0,1,A1,A1,113,100154
0.39999999999999997,0.4,0,0,A1,A2,114,100155
0.9999999999999999,1.0,1,1,A1,A1,115,100156
