planning_horizon,weight_scheme,asset_id,asset_role,criticality,capacity_loss_percent,throughput,severity,assignment_seed,assignment_design,source_cmapss_unit_id,source_true_endpoint_rul_diagnostic_only,surrogate_rul_input,surrogate_rul_quantile,rul_urgency,combined_consequence,priority_score,priority_rank,rul_only_score,rul_only_rank,criticality_only_score,criticality_only_rank
100.0,equal,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,0.676836948708643,0.6666666666666667,45.12246324724287,1,67.6836948708643,1,80.0,2
100.0,equal,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,0.0,0.9333333333333333,0.0,4,0.0,4,100.0,1
100.0,equal,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,0.0,0.8,0.0,4,0.0,4,80.0,2
100.0,equal,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,0.524497290382131,0.4,20.97989161528524,2,52.4497290382131,2,40.0,5
100.0,equal,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,0.051859033969272494,0.5333333333333333,2.7658151450278665,3,5.18590339692725,3,60.0,4
100.0,criticality_heavy,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,0.676836948708643,0.7000000000000001,47.37858640960501,1,67.6836948708643,1,80.0,2
100.0,criticality_heavy,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,0.0,0.95,0.0,4,0.0,4,100.0,1
100.0,criticality_heavy,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,0.0,0.8,0.0,4,0.0,4,80.0,2
100.0,criticality_heavy,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,0.524497290382131,0.4,20.97989161528524,2,52.4497290382131,2,40.0,5
100.0,criticality_heavy,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,0.051859033969272494,0.5499999999999999,2.852246868309987,3,5.18590339692725,3,60.0,4
100.0,throughput_heavy,A1,Inbound conveyor motor,4,40,3,3,42,quintile_stratified,24,20,32.316305129135706,Q1_shortest_0_20pct,0.676836948708643,0.65,43.9944016660618,1,67.6836948708643,1,80.0,2
100.0,throughput_heavy,A2,Sortation conveyor drive,5,80,5,4,42,quintile_stratified,47,135,121.81629897102604,Q4_60_80pct,0.0,0.95,0.0,4,0.0,4,100.0,1
100.0,throughput_heavy,A3,Vertical lift motor,4,55,4,4,42,quintile_stratified,39,142,172.98448712201755,Q5_longest_80_100pct,0.0,0.8,0.0,4,0.0,4,80.0,2
100.0,throughput_heavy,A4,AGV/shuttle drive unit,2,15,2,2,42,quintile_stratified,64,28,47.55027096178691,Q2_20_40pct,0.524497290382131,0.4,20.97989161528524,2,52.4497290382131,2,40.0,5
100.0,throughput_heavy,A5,Packing-station roller motor,3,35,3,2,42,quintile_stratified,74,126,94.81409660307276,Q3_40_60pct,0.051859033969272494,0.5499999999999999,2.852246868309987,3,5.18590339692725,3,60.0,4
