repetition,asset_id,asset_role,criticality,capacity_loss_percent,throughput,severity,assignment_seed,assignment_design,source_cmapss_unit_id,source_true_endpoint_rul_diagnostic_only,surrogate_rul_input,surrogate_rul_quantile,rul_urgency,combined_consequence,priority_score,priority_rank,rul_only_score,rul_only_rank,criticality_only_score,criticality_only_rank
1,A1,Inbound conveyor motor,4,40,3,3,42,unstratified_random,76,10,10.049433434661326,Q1_shortest_0_20pct,0.9196045325227094,0.6666666666666667,61.3069688348473,1,91.96045325227094,1,80.0,2
1,A2,Sortation conveyor drive,5,80,5,4,42,unstratified_random,44,109,141.8287484510994,Q5_longest_80_100pct,0.0,0.9333333333333333,0.0,3,0.0,3,100.0,1
1,A3,Vertical lift motor,4,55,4,4,42,unstratified_random,65,128,151.46723766284128,Q5_longest_80_100pct,0.0,0.8,0.0,3,0.0,3,80.0,2
1,A4,AGV/shuttle drive unit,2,15,2,2,42,unstratified_random,9,111,137.60480848618022,Q5_longest_80_100pct,0.0,0.4,0.0,3,0.0,3,40.0,5
1,A5,Packing-station roller motor,3,35,3,2,42,unstratified_random,100,20,23.88622641030998,Q1_shortest_0_20pct,0.8089101887175202,0.5333333333333333,43.14187673160108,2,80.89101887175202,2,60.0,4
2,A1,Inbound conveyor motor,4,40,3,3,43,unstratified_random,5,91,97.4316568366386,Q3_40_60pct,0.22054674530689122,0.6666666666666667,14.703116353792751,5,22.054674530689123,5,80.0,2
2,A2,Sortation conveyor drive,5,80,5,4,43,unstratified_random,58,37,44.85465760060767,Q2_20_40pct,0.6411627391951387,0.9333333333333333,59.84185565821295,2,64.11627391951387,3,100.0,1
2,A3,Vertical lift motor,4,55,4,4,43,unstratified_random,40,28,26.358548153514647,Q1_shortest_0_20pct,0.7891316147718828,0.8,63.13052918175063,1,78.91316147718828,2,80.0,2
2,A4,AGV/shuttle drive unit,2,15,2,2,43,unstratified_random,64,28,47.55027096178691,Q2_20_40pct,0.6195978323057048,0.4,24.783913292228192,4,61.95978323057047,4,40.0,5
2,A5,Packing-station roller motor,3,35,3,2,43,unstratified_random,49,21,13.44996942007384,Q1_shortest_0_20pct,0.8924002446394093,0.5333333333333333,47.59467971410183,3,89.24002446394093,1,60.0,4
3,A1,Inbound conveyor motor,4,40,3,3,44,unstratified_random,26,119,123.02499684692152,Q4_60_80pct,0.015800025224627756,0.6666666666666667,1.053335014975184,3,1.5800025224627756,3,80.0,2
3,A2,Sortation conveyor drive,5,80,5,4,44,unstratified_random,12,124,90.15767382323185,Q3_40_60pct,0.2787386094141452,0.9333333333333333,26.015603545320218,2,27.87386094141452,2,100.0,1
3,A3,Vertical lift motor,4,55,4,4,44,unstratified_random,67,77,138.84222319134904,Q5_longest_80_100pct,0.0,0.8,0.0,4,0.0,4,80.0,2
3,A4,AGV/shuttle drive unit,2,15,2,2,44,unstratified_random,65,128,151.46723766284128,Q5_longest_80_100pct,0.0,0.4,0.0,4,0.0,4,40.0,5
3,A5,Packing-station roller motor,3,35,3,2,44,unstratified_random,81,8,12.767256508974471,Q1_shortest_0_20pct,0.8978619479282042,0.5333333333333333,47.88597055617089,1,89.78619479282042,1,60.0,4
4,A1,Inbound conveyor motor,4,40,3,3,45,unstratified_random,89,136,96.67220915776228,Q3_40_60pct,0.22662232673790172,0.6666666666666667,15.108155115860116,4,22.66223267379017,4,80.0,2
4,A2,Sortation conveyor drive,5,80,5,4,45,unstratified_random,56,15,16.158144448588526,Q1_shortest_0_20pct,0.8707348444112918,0.9333333333333333,81.26858547838724,1,87.07348444112918,1,100.0,1
4,A3,Vertical lift motor,4,55,4,4,45,unstratified_random,54,97,127.42576425394527,Q4_60_80pct,0.0,0.8,0.0,5,0.0,5,80.0,2
4,A4,AGV/shuttle drive unit,2,15,2,2,45,unstratified_random,72,50,70.20451782538055,Q3_40_60pct,0.4383638573969556,0.4,17.534554295878223,3,43.83638573969556,3,40.0,5
4,A5,Packing-station roller motor,3,35,3,2,45,unstratified_random,53,26,32.51632437126566,Q1_shortest_0_20pct,0.7398694050298746,0.5333333333333333,39.459701601593316,2,73.98694050298747,2,60.0,4
5,A1,Inbound conveyor motor,4,40,3,3,46,unstratified_random,22,111,163.77680736738688,Q5_longest_80_100pct,0.0,0.6666666666666667,0.0,4,0.0,4,80.0,2
5,A2,Sortation conveyor drive,5,80,5,4,46,unstratified_random,8,95,75.96907893735971,Q3_40_60pct,0.3922473685011223,0.9333333333333333,36.60975439343808,1,39.22473685011223,2,100.0,1
5,A3,Vertical lift motor,4,55,4,4,46,unstratified_random,55,137,118.91039914419324,Q4_60_80pct,0.048716806846454075,0.8,3.897344547716326,3,4.8716806846454075,3,80.0,2
5,A4,AGV/shuttle drive unit,2,15,2,2,46,unstratified_random,49,21,13.44996942007384,Q1_shortest_0_20pct,0.8924002446394093,0.4,35.69600978557637,2,89.24002446394093,1,40.0,5
5,A5,Packing-station roller motor,3,35,3,2,46,unstratified_random,88,115,132.4717899153425,Q4_60_80pct,0.0,0.5333333333333333,0.0,4,0.0,4,60.0,4
6,A1,Inbound conveyor motor,4,40,3,3,47,unstratified_random,72,50,70.20451782538055,Q3_40_60pct,0.4383638573969556,0.6666666666666667,29.22425715979704,1,43.83638573969556,1,80.0,2
6,A2,Sortation conveyor drive,5,80,5,4,47,unstratified_random,44,109,141.8287484510994,Q5_longest_80_100pct,0.0,0.9333333333333333,0.0,3,0.0,3,100.0,1
6,A3,Vertical lift motor,4,55,4,4,47,unstratified_random,75,113,125.9355598567823,Q4_60_80pct,0.0,0.8,0.0,3,0.0,3,80.0,2
6,A4,AGV/shuttle drive unit,2,15,2,2,47,unstratified_random,10,96,99.04426828245136,Q3_40_60pct,0.20764585374038913,0.4,8.305834149615565,2,20.764585374038912,2,40.0,5
6,A5,Packing-station roller motor,3,35,3,2,47,unstratified_random,54,97,127.42576425394527,Q4_60_80pct,0.0,0.5333333333333333,0.0,3,0.0,3,60.0,4
7,A1,Inbound conveyor motor,4,40,3,3,48,unstratified_random,59,114,150.6488483670163,Q5_longest_80_100pct,0.0,0.6666666666666667,0.0,5,0.0,5,80.0,2
7,A2,Sortation conveyor drive,5,80,5,4,48,unstratified_random,38,50,47.55990877981797,Q2_20_40pct,0.6195207297614562,0.9333333333333333,57.82193477773591,2,61.95207297614562,3,100.0,1
7,A3,Vertical lift motor,4,55,4,4,48,unstratified_random,68,8,14.299954503479244,Q1_shortest_0_20pct,0.885600363972166,0.8,70.8480291177733,1,88.5600363972166,2,80.0,2
